name,code,first contract date,first data date,currency,group,universe,,,,,
Cotton,CT,,,,Agricultural,Equal Weighted,,,,,
Corn,C,,,,Agricultural,Equal Weighted,,,,,
Lumber,LB,,,,Agricultural,Equal Weighted,,,,,
Live cattle,LC,,,,Agricultural,Equal Weighted,,,,,
Lean hogs,LH,,,,Agricultural,Equal Weighted,,,,,
Oats,O,,,,Agricultural,Equal Weighted,,,,,
Rough rice,RR,,,,Agricultural,Equal Weighted,,,,,
Soybean,S,,,,Agricultural,Equal Weighted,,,,,
Sugar,SB,,,,Agricultural,Equal Weighted,,,,,
Wheat,W,,,,Agricultural,Equal Weighted,,,,,
Gas oil,GO,,,,Non-Agricultural,Equal Weighted,,,,,
Crude oil,CL,,,,Non-Agricultural,Equal Weighted,,,,,
Heating oil,HO,,,,Non-Agricultural,Equal Weighted,,,,,
Natural gas,NG,,,,Non-Agricultural,Equal Weighted,,,,,
Gasoline,RB,,,,Non-Agricultural,Equal Weighted,,,,,
Gold,GC,,,,Non-Agricultural,Equal Weighted,,,,,
Copper,HG,,,,Non-Agricultural,Equal Weighted,,,,,
Palladium,PA,,,,Non-Agricultural,Equal Weighted,,,,,
Platinum,PL,,,,Non-Agricultural,Equal Weighted,,,,,
Silver,SI,,,,Non-Agricultural,Equal Weighted,,,,,
AUD/USD,AD,,,,Currencies,Equal Weighted,,,,,
GBP/USD,BP,,,,Currencies,Equal Weighted,,,,,
EUR/USD,EC,,,,Currencies,Equal Weighted,,,,,
JPY/USD,JY,,,,Currencies,Equal Weighted,,,,,
NZD/USD,NE,,,,Currencies,Equal Weighted,,,,,
EUR/CHF,,,,,Currencies,Equal Weighted,,,,,
EUR/GBP,,,,,Currencies,Equal Weighted,,,,,
EUR/JPY,,,,,Currencies,Equal Weighted,,,,,
CHF/USD,SF,,,,Currencies,Equal Weighted,,,,,
CAD/USD,CD,,,,Currencies,Equal Weighted,,,,,
CAC 40,FCE,,,,Indicies,Equal Weighted,,,,,
