Name,Exchange Rate Symbol,Group,History Start Date
Australian Dollar/British Pound,AUDGBP,Primary,1/2/1991
Australian Dollar/Canadian Dollar,AUDCAD,Primary,1/2/1991
Australian Dollar/Hong Kong Dollar,AUDHKD,Primary,1/2/1991
Australian Dollar/Japanese Yen,AUDJPY,Primary,1/2/1991
Australian Dollar/New Zealand Dollar,AUDNZD,Primary,1/2/1991
Australian Dollar/Singapore Dollar,AUDSGD,Primary,1/2/1991
Australian Dollar/South African Rand,AUDZAR,Primary,4/9/1996
Australian Dollar/Swiss Franc,AUDCHF,Primary,1/2/1991
Australian Dollar/United States Dollar,AUDUSD,Primary,1/2/1991
Bitcoin/United States Dollar,BTCUSD,Primary,8/18/2011
Canadian Dollar/Swiss Franc,CADCHF,Primary,1/2/1991
British Pound/Canadian Dollar,GBPCAD,Primary,1/2/1991
British Pound/Hong Kong Dollar,GBPHKD,Primary,1/2/1991
British Pound/Japanese Yen,GBPJPY,Primary,1/2/1991
British Pound/Mexican Peso,GBPMXN,Primary,12/11/1998
British Pound/New Zealand Dollar,GBPNZD,Primary,1/2/1991
British Pound/Singapore Dollar,GBPSGD,Primary,1/2/1991
British Pound/South African Rand,GBPZAR,Primary,12/23/1992
British Pound/Swiss Franc,GBPCHF,Primary,1/2/1991
British Pound/United States Dollar,GBPUSD,Primary,1/2/1991
Canadian Dollar/Japanese Yen,CADJPY,Primary,1/2/1991
Euro/Australian Dollar,EURAUD,Primary,1/4/1999
Euro/British Pound,EURGBP,Primary,1/4/1999
Euro/Canadian Dollar,EURCAD,Primary,1/4/1999
Euro/Danish Krone,EURDKK,Primary,1/4/1999
Euro/Hong Kong Dollar,EURHKD,Primary,1/4/1999
Euro/Hungarian Forint,EURHUF,Primary,1/4/1999
Euro/Indian Rupee,EURINR,Primary,1/4/1999
Euro/Japanese Yen,EURJPY,Primary,1/4/1999
Euro/Malaysian Ringgit,EURMYR,Primary,1/4/1999
Euro/Mexican Peso,EURMXN,Primary,1/4/1999
Euro/New Zealand Dollar,EURNZD,Primary,1/4/1999
Euro/Norwegian Krone,EURNOK,Primary,1/4/1999
Euro/Polish Zloty,EURPLN,Primary,1/4/1999
Euro/Singapore Dollar,EURSGD,Primary,1/4/1999
Euro/South African Rand,EURZAR,Primary,1/4/1999
Euro/Swedish Kronor,EURSEK,Primary,1/4/1999
Euro/Swiss Franc,EURCHF,Primary,1/4/1999
Euro/Taiwan Dollar,EURTWD,Primary,1/4/1999
Euro/United States Dollar,EURUSD,Primary,1/4/1999
Japanese Yen/New Zealand Dollar,JPYNZD,Primary,1/2/1991
Swiss Franc/Japanese Yen,CHFJPY,Primary,1/2/1991
United States Dollar/Brazilian Real,USDBRL,Primary,7/4/1994
United States Dollar/Canadian Dollar,USDCAD,Primary,1/2/1991
United States Dollar/Chilean Peso,USDCLP,Primary,1/2/1991
United States Dollar/Chinese Yuan,USDCNY,Primary,1/4/1994
United States Dollar/Danish Krone,USDDKK,Primary,1/2/1991
United States Dollar/Hong Kong Dollar,USDHKD,Primary,1/2/1991
United States Dollar/Hungarian Forint,USDHUF,Primary,6/15/1993
United States Dollar/Indian Rupee,USDINR,Primary,1/2/1991
United States Dollar/Israeli Shekel,USDILS,Primary,1/2/1991
United States Dollar/Japanese Yen,USDJPY,Primary,1/2/1991
United States Dollar/Malaysian Ringgit,USDMYR,Primary,1/2/1991
United States Dollar/Mexican Peso,USDMXN,Primary,7/11/1994
