name,standard
Currency,Norgate
Food/Fibre,Norgate
Grain/Oilseed,Norgate
Index,Norgate
Interest Rate,Norgate
Meat/Livestock,Norgate
Metal,Norgate
Oil/Energy,Norgate
Agricultural,Clenow
Non-Agricultural,Clenow
Currencies,Clenow
Indicies,Clenow
Interest Rates,Clenow
Energies,
Grains,
Soy Complex,
Meats,
Metals,
Soft and Fibers,
Currencies,
Interest Rates,
Indicies,
Bulk Commodities,Spot
Bullion,Spot
Commodity Indices,Spot
Energy,Spot
Financials,Spot
Food,Spot
London Metals Exchange,Spot
Stock Indices,Spot
Majors,Currency
Minors,Currency
Primary,Currency
Gold,Currency
Silver,Currency
