name,market code,roll out month,roll in month,month,day
norgate,AD,Mar,Jun,Mar,8
,,Jun,Sep,Jun,8
,,Sep,Dec,Sep,8
,,Dec,Mar,Dec,8
norgate,BP,Mar,Jun,Mar,8
,,Jun,Sep,Jun,8
,,Sep,Dec,Sep,8
,,Dec,Mar,Dec,8
norgate,CD,Mar,Jun,Mar,8
,,Jun,Sep,Jun,8
,,Sep,Dec,Sep,8
,,Dec,Mar,Dec,8
norgate,EC,Mar,Jun,Mar,8
,,Jun,Sep,Jun,8
,,Sep,Dec,Sep,8
,,Dec,Mar,Dec,8
norgate,JY,Mar,Jun,Mar,8
,,Jun,Sep,Jun,8
,,Sep,Dec,Sep,8
,,Dec,Mar,Dec,8
norgate,MP,Mar,Jun,Mar,8
,,Jun,Sep,Jun,8
,,Sep,Dec,Sep,8
,,Dec,Mar,Dec,8
norgate,NE,Mar,Jun,Mar,8
,,Jun,Sep,Jun,8
,,Sep,Dec,Sep,8
,,Dec,Mar,Dec,8
norgate,SF,Mar,Jun,Mar,8
,,Jun,Sep,Jun,8
,,Sep,Dec,Sep,8
,,Dec,Mar,Dec,8
norgate,BO,Jan,Mar,Dec,23
,,Mar,May,Feb,23
,,May,Jul,Apr,25
,,Jul,Aug,Jun,25
,,Aug,Sep,Jul,25
,,Sep,Oct,Aug,25
,,Oct,Dec,Sep,25
,,Dec,Jan,Nov,25
norgate,CC,Mar,May,Feb,8
,,May,Jul,Apr,8
,,Jul,Sep,Jun,8
,,Sep,Dec,Aug,8
,,Dec,Mar,Nov,8
norgate,CT,Mar,May,Feb,11
,,May,Jul,Apr,11
,,Jul,Dec,Jun,11
,,Dec,Mar,Nov,11
norgate,DA,Jan,Feb,Jan,27
,,Feb,Mar,Feb,25
,,Mar,Apr,Mar,27
,,Apr,May,Apr,27
,,May,Jun,May,27
,,Jun,Jul,Jun,27
,,Jul,Aug,Jul,27
,,Aug,Sep,Aug,27
,,Sep,Oct,Sep,27
,,Oct,Nov,Oct,27
,,Nov,Dec,Nov,27
,,Dec,Jan,Dec,27
norgate,KC,Mar,May,Feb,14
,,May,Jul,Apr,14
,,Jul,Sep,Jun,14
,,Sep,Dec,Aug,14
,,Dec,Mar,Nov,14
norgate,LB,Jan,Mar,Jan,1
,,Mar,May,Mar,1
,,May,Jul,May,1
,,Jul,Sep,Jul,1
,,Sep,Nov,Sep,1
,,Nov,Jan,Nov,1
norgate,LCC,Mar,May,Feb,26
,,May,Jul,Apr,29
,,Jul,Sep,Jun,29
,,Sep,Dec,Aug,29
,,Dec,Mar,Nov,29
norgate,LRC,Jan,Mar,Dec,28
,,Mar,May,Feb,25
,,May,Jul,Apr,28
,,Jul,Sep,Jun,28
,,Sep,Nov,Aug,28
,,Nov,Jan,Oct,28
norgate,LSU,Mar,May,Feb,9
,,May,Aug,Apr,9
,,Aug,Oct,Jul,9
,,Oct,Dec,Sep,9
,,Dec,Mar,Nov,9
norgate,OJ,Jan,Mar,Dec,26
,,Mar,May,Feb,26
,,May,Jul,Apr,26
,,Jul,Sep,Jun,26
,,Sep,Nov,Aug,26
,,Nov,Jan,Oct,26
norgate,SB,Mar,May,Feb,17
,,May,Jul,Apr,17
,,Jul,Oct,Jun,17
,,Oct,Mar,Sep,17
norgate,ACM,Jan,Mar,Jan,1
,,Mar,May,Mar,1
,,May,Jul,May,1
,,Jul,Jan,Jul,1
norgate,AFB,Jan,Mar,Jan,1
,,Mar,May,Mar,1
,,May,Jul,May,1
,,Jul,Jan,Jul,1
norgate,ASM,Mar,May,Mar,1
,,May,Jul,May,1
,,Jul,Sep,Jul,1
,,Sep,Mar,Sep,1
norgate,AWM,Jan,Mar,Jan,1
,,Mar,May,Mar,1
,,May,Jul,May,1
,,Jul,Jan,Jul,1
norgate,C,Mar,May,Feb,23
,,May,Jul,Apr,25
,,Jul,Sep,Jun,25
,,Sep,Dec,Aug,25
,,Dec,Mar,Nov,25
norgate,KW,Mar,May,Feb,14
,,May,Jul,Apr,14
,,Jul,Sep,Jun,14
,,Sep,Dec,Aug,14
,,Dec,Mar,Nov,14
norgate,LWB,Jan,Mar,Dec,24
,,Mar,May,Feb,22
,,May,Jul,Apr,24
,,Jul,Nov,Jun,24
,,Nov,Jan,Oct,24
norgate,MW,Mar,May,Feb,23
,,May,Jul,Apr,25
,,Jul,Sep,Jun,25
,,Sep,Dec,Aug,25
,,Dec,Mar,Nov,25
norgate,O,Mar,May,Feb,25
,,May,Jul,Apr,27
,,Jul,Sep,Jun,27
,,Sep,Dec,Aug,27
,,Dec,Mar,Nov,27
norgate,RR,Jan,Mar,Dec,27
,,Mar,May,Feb,25
,,May,Jul,Apr,27
,,Jul,Sep,Jun,27
,,Sep,Nov,Aug,27
,,Nov,Jan,Oct,27
norgate,RS,Jan,Mar,Dec,23
,,Mar,Jul,Feb,25
,,Jul,Nov,Jun,25
,,Nov,Jan,Oct,25
norgate,S,Jan,Mar,Dec,23
,,Mar,May,Feb,23
,,May,Jul,Apr,25
,,Jul,Nov,Jun,25
,,Nov,Jan,Oct,25
norgate,SM,Jan,Mar,Dec,23
,,Mar,May,Feb,23
,,May,Jul,Apr,25
,,Jul,Aug,Jun,25
,,Aug,Sep,Jul,25
,,Sep,Oct,Aug,25
,,Oct,Dec,Sep,25
,,Dec,Jan,Nov,25
norgate,W,Mar,May,Feb,23
,,May,Jul,Apr,25
,,Jul,Sep,Jun,25
,,Sep,Dec,Aug,25
,,Dec,Mar,Nov,25
norgate,WAW,Jan,Mar,Jan,1
,,Mar,May,Mar,1
,,May,Jul,May,1
,,Jul,Jan,Jul,1
norgate,DX,Mar,Jun,Mar,9
,,Jun,Sep,Jun,9
,,Sep,Dec,Sep,9
,,Dec,Mar,Dec,9
norgate,EMD,Mar,Jun,Mar,12
,,Jun,Sep,Jun,12
,,Sep,Dec,Sep,12
,,Dec,Mar,Dec,12
